name,Company,Car,year,km_driven,fuel,seller_type,transmission,owner,mileage,engine,max_power,torque,seats,selling_price
Maruti Swift Ldi BSIV,Maruti,Maruti Swift Ldi,2009,100000,Diesel,Individual,Manual,Second Owner,17.8 kmpl,1248 CC,75 bhp,190Nm@ 2000rpm,5,221000
Tata Zest Revotron 1.2 XT,Tata,Tata Zest Revotron,2017,35000,Petrol,Individual,Manual,First Owner,17.57 kmpl,1193 CC,88.7 bhp,140Nm@ 1500-4000rpm,5,400000
Toyota Camry V4 (MT),Toyota,Toyota Camry V4,2004,120000,Petrol,Individual,Manual,Second Owner,13.4 kmpl,2362 CC,164.7 bhp,224Nm@ 4000rpm,5,250000
Mahindra Bolero DI BSIII,Mahindra,Mahindra Bolero DI,2011,120000,Diesel,Individual,Manual,Fourth & Above Owner,13.6 kmpl,2523 CC,63 bhp,180 Nm at 1440-1500rpm,7,390000
Maruti Eeco 5 Seater AC BSIV,Maruti,Maruti Eeco 5,2012,110000,Petrol,Individual,Manual,First Owner,15.37 kmpl,1196 CC,73 bhp,101Nm@ 3000rpm,5,190000
Renault KWID RXT,Renault,Renault KWID RXT,2017,60000,Petrol,Individual,Manual,First Owner,25.17 kmpl,799 CC,53.3 bhp,72Nm@ 4386rpm,5,300000
Hyundai i20 1.4 Asta Dual Tone,Hyundai,Hyundai i20 1.4,2017,27000,Diesel,Individual,Manual,First Owner,22.54 kmpl,1396 CC,88.73 bhp,219.7Nm@ 1500-2750rpm,5,750000
Maruti Swift Dzire VDI,Maruti,Maruti Swift Dzire,2016,50000,Diesel,Individual,Manual,First Owner,26.59 kmpl,1248 CC,74 bhp,190Nm@ 2000rpm,5,650000
Honda Amaze i-VTEC Privilege Edition,Honda,Honda Amaze i-VTEC,2018,40000,Petrol,Individual,Manual,First Owner,17.8 kmpl,1198 CC,86.7 bhp,109Nm@ 4500rpm,5,635000
Hyundai Verna 1.6 SX,Hyundai,Hyundai Verna 1.6,2013,88000,Diesel,Individual,Manual,Second Owner,22.32 kmpl,1582 CC,126.32 bhp,259.8Nm@ 1900-2750rpm,5,520000
Mahindra Scorpio S11 4WD BSIV,Mahindra,Mahindra Scorpio S11,2020,50000,Diesel,Individual,Manual,First Owner,16.36 kmpl,2179 CC,140 bhp,320Nm@ 1500-2800rpm,7,1500000
Hyundai Verna 1.6 SX CRDi (O),Hyundai,Hyundai Verna 1.6,2012,80000,Diesel,Individual,Manual,Second Owner,22.32 kmpl,1582 CC,126.32 bhp,259.8Nm@ 1900-2750rpm,5,415000
Hyundai Elite i20 Diesel Sportz,Hyundai,Hyundai Elite i20,2019,60000,Diesel,Individual,Manual,First Owner,22.54 kmpl,1396 CC,88.76 bhp,219.66nm@ 1500-2750rpm,5,700000
Maruti Swift LXI,Maruti,Maruti Swift LXI,2017,26000,Petrol,Individual,Manual,Second Owner,21.21 kmpl,1197 CC,81.80 bhp,113Nm@ 4200rpm,5,484999
Ford Fiesta 1.4 Durasport EXI,Ford,Ford Fiesta 1.4,2007,80000,Petrol,Individual,Manual,Second Owner,16.6 kmpl,1388 CC,68 bhp,"16.3@ 2,000(kgm@ rpm)",5,120000
Hyundai EON Era Plus,Hyundai,Hyundai EON Era,2014,60000,Petrol,Individual,Manual,Second Owner,21.1 kmpl,814 CC,55.2 bhp,74.5Nm@ 4000rpm,5,220000
Hyundai i10 Magna,Hyundai,Hyundai i10 Magna,2014,80000,Petrol,Individual,Manual,Second Owner,20.36 kmpl,1197 CC,78.9 bhp,111.7Nm@ 4000rpm,5,320000
Maruti Swift VDI,Maruti,Maruti Swift VDI,2011,90000,Diesel,Individual,Manual,Second Owner,22.9 kmpl,1248 CC,74 bhp,190Nm@ 2000rpm,5,375000
Hyundai Verna 1.6 SX CRDi (O),Hyundai,Hyundai Verna 1.6,2012,80000,Diesel,Individual,Manual,Second Owner,22.32 kmpl,1582 CC,126.32 bhp,259.8Nm@ 1900-2750rpm,5,440000
Hyundai Grand i10 1.2 Kappa Magna AT,Hyundai,Hyundai Grand i10,2019,15000,Petrol,Individual,Automatic,First Owner,18.9 kmpl,1197 CC,81.86 bhp,113.75nm@ 4000rpm,5,550000
Maruti Swift ZDI BSIV,Maruti,Maruti Swift ZDI,2017,35000,Diesel,Individual,Manual,Second Owner,25.2 kmpl,1248 CC,74 bhp,190Nm@ 2000rpm,5,640000
Toyota Etios GD,Toyota,Toyota Etios GD,2014,120000,Diesel,Individual,Manual,First Owner,23.59 kmpl,1364 CC,67.04 bhp,170Nm@ 1800-2400rpm,5,420000
Hyundai Grand i10 CRDi Sportz,Hyundai,Hyundai Grand i10,2016,63000,Diesel,Individual,Manual,Third Owner,24.0 kmpl,1120 CC,70 bhp,160Nm@ 1500-2750rpm,5,330000
Volkswagen Ameo 1.5 TDI Highline Plus,Volkswagen,Volkswagen Ameo 1.5,2019,25000,Diesel,Individual,Manual,First Owner,21.66 kmpl,1498 CC,108.62 bhp,250Nm@ 1500-3000rpm,5,800000
Maruti Wagon R LXI BS IV,Maruti,Maruti Wagon R,2011,64500,Petrol,Individual,Manual,First Owner,18.9 kmpl,998 CC,67.1 bhp,90Nm@ 3500rpm,5,240000
Mahindra KUV 100 mFALCON D75 K2 Plus,Mahindra,Mahindra KUV 100,2016,100000,Diesel,Individual,Manual,Second Owner,25.32 kmpl,1198 CC,77 bhp,190Nm@ 1750-2250rpm,6,360000
Hyundai Verna 1.6 CRDi SX,Hyundai,Hyundai Verna 1.6,2017,40000,Diesel,Individual,Manual,First Owner,23.9 kmpl,1582 CC,126.2 bhp,259.9Nm@ 1900-2750rpm,5,750000
Hyundai i20 1.2 Magna Executive,Hyundai,Hyundai i20 1.2,2017,15000,Petrol,Individual,Manual,Second Owner,18.6 kmpl,1197 CC,81.83 bhp,114.7Nm@ 4000rpm,5,570000
Toyota Etios Liva GD,Toyota,Toyota Etios Liva,2015,25000,Diesel,Individual,Manual,First Owner,23.59 kmpl,1364 CC,67.04 bhp,170Nm@ 1800-2400rpm,5,450000
Maruti Ritz LXi,Maruti,Maruti Ritz LXi,2016,82000,Petrol,Individual,Manual,Third Owner,18.5 kmpl,1197 CC,85.80 bhp,114Nm@ 4000rpm,5,270000
Maruti Ertiga VDI,Maruti,Maruti Ertiga VDI,2012,87000,Diesel,Individual,Manual,First Owner,20.77 kmpl,1248 CC,88.76 bhp,200Nm@ 1750rpm,7,459999
Maruti Alto K10 VXI,Maruti,Maruti Alto K10,2015,80000,Petrol,Individual,Manual,Second Owner,23.95 kmpl,998 CC,67.05 bhp,90Nm@ 3500rpm,5,240000
Renault Duster 110PS Diesel RxZ,Renault,Renault Duster 110PS,2012,110000,Diesel,Individual,Manual,Third Owner,19.01 kmpl,1461 CC,108.45 bhp,248Nm@ 2250rpm,5,320000
Tata Manza Aura (ABS) Quadrajet BS IV,Tata,Tata Manza Aura,2011,148000,Diesel,Individual,Manual,Second Owner,21.12 kmpl,1248 CC,88.8 bhp,200Nm@ 1750-3000rpm,5,149000
Mahindra Scorpio S11 BSIV,Mahindra,Mahindra Scorpio S11,2018,40000,Diesel,Individual,Manual,First Owner,16.36 kmpl,2179 CC,140 bhp,320Nm@ 1500-2800rpm,7,1500000
Hyundai Accent Executive,Hyundai,Hyundai Accent Executive,2011,70000,Petrol,Individual,Manual,First Owner,16.36 kmpl,1495 CC,93.7 bhp,124.6Nm@ 3500rpm,5,180000
Hyundai Santro Xing GLS LPG,Hyundai,Hyundai Santro Xing,2012,70000,LPG,Individual,Manual,Second Owner,13.45 km/kg,1086 CC,62.1 bhp,96.1Nm@ 3000rpm,5,185000
Maruti 800 AC,Maruti,Maruti 800 AC,2008,40000,Petrol,Individual,Manual,Second Owner,16.1 kmpl,796 CC,37 bhp,59Nm@ 2500rpm,4,65000
Tata Indigo LX,Tata,Tata Indigo LX,2010,120000,Diesel,Individual,Manual,First Owner,17.0 kmpl,1405 CC,70 bhp,"13.5@ 2,500(kgm@ rpm)",5,130000
Ford Fiesta Classic 1.4 Duratorq CLXI,Ford,Ford Fiesta Classic,2012,60000,Diesel,Individual,Manual,First Owner,17.8 kmpl,1399 CC,67 bhp,160Nm@ 2000rpm,5,330000
Tata Manza Aura (ABS) Quadrajet,Tata,Tata Manza Aura,2011,90000,Diesel,Dealer,Manual,First Owner,18.8 kmpl,1248 CC,90 bhp,200Nm@ 1750-3000rpm,5,190000
Maruti Swift VDI,Maruti,Maruti Swift VDI,2014,68000,Diesel,Dealer,Manual,First Owner,22.9 kmpl,1248 CC,74 bhp,190Nm@ 2000rpm,5,501000
Honda Amaze S i-DTEC,Honda,Honda Amaze S,2017,24500,Diesel,Dealer,Manual,First Owner,25.8 kmpl,1498 CC,98.6 bhp,200Nm@ 1750rpm,5,600000
Mahindra XUV500 W8 4WD,Mahindra,Mahindra XUV500 W8,2012,77000,Diesel,Dealer,Manual,Second Owner,15.1 kmpl,2179 CC,140 bhp,330Nm@ 1600-2800rpm,7,570000
Honda Amaze VX O iDTEC,Honda,Honda Amaze VX,2015,85000,Diesel,Dealer,Manual,First Owner,25.8 kmpl,1498 CC,98.6 bhp,200Nm@ 1750rpm,5,450000
Toyota Etios 1.5 V,Toyota,Toyota Etios 1.5,2011,45500,Petrol,Dealer,Manual,First Owner,16.78 kmpl,1496 CC,88.73 bhp,132Nm@ 3000rpm,5,285000
Maruti Swift VDI,Maruti,Maruti Swift VDI,2014,67000,Diesel,Dealer,Manual,First Owner,28.4 kmpl,1248 CC,74 bhp,190Nm@ 2000rpm,5,490000
Maruti Swift VDI,Maruti,Maruti Swift VDI,2014,77000,Diesel,Dealer,Manual,First Owner,28.4 kmpl,1248 CC,74 bhp,190Nm@ 2000rpm,5,500000
Hyundai EON Magna Plus,Hyundai,Hyundai EON Magna,2016,47000,Petrol,Dealer,Manual,First Owner,21.1 kmpl,814 CC,55.2 bhp,74.5Nm@ 4000rpm,5,275000
Tata Tiago XT,Tata,Tata Tiago XT,2017,57000,Petrol,Dealer,Manual,First Owner,23.84 kmpl,1199 CC,84.48 bhp,113Nm@ 3300rpm,5,440000
Hyundai i20 1.4 Asta Option,Hyundai,Hyundai i20 1.4,2018,71500,Diesel,Dealer,Manual,First Owner,22.54 kmpl,1396 CC,88.73 bhp,219.7Nm@ 1500-2750rpm,5,825000
Toyota Etios Liva 1.4 GD,Toyota,Toyota Etios Liva,2012,110000,Diesel,Dealer,Manual,First Owner,23.59 kmpl,1364 CC,67.04 bhp,170Nm@ 1800-2400rpm,5,411000
Maruti Swift Dzire VDI,Maruti,Maruti Swift Dzire,2013,82000,Diesel,Dealer,Manual,Second Owner,26.59 kmpl,1248 CC,74 bhp,190Nm@ 2000rpm,5,470000
Maruti Swift VDI,Maruti,Maruti Swift VDI,2013,70000,Diesel,Dealer,Manual,Second Owner,28.4 kmpl,1248 CC,74 bhp,190Nm@ 2000rpm,5,445000
Maruti Baleno Zeta Diesel,Maruti,Maruti Baleno Zeta,2017,28000,Diesel,Dealer,Manual,First Owner,27.39 kmpl,1248 CC,74 bhp,190Nm@ 2000rpm,5,752000
Skoda Rapid 1.5 TDI Style Plus Black Package,Skoda,Skoda Rapid 1.5,2016,125000,Diesel,Dealer,Manual,Second Owner,21.14 kmpl,1498 CC,103.52 bhp,250Nm@ 1500-2500rpm,5,650000
Maruti Swift VDI,Maruti,Maruti Swift VDI,2013,67000,Diesel,Dealer,Manual,Second Owner,28.4 kmpl,1248 CC,74 bhp,190Nm@ 2000rpm,5,450000
Honda City 1.5 V MT,Honda,Honda City 1.5,2011,93500,Petrol,Dealer,Manual,Third Owner,17.0 kmpl,1497 CC,118 bhp,146Nm at 4800 rpm,5,350000
Maruti Swift VVT VXI,Maruti,Maruti Swift VVT,2012,8500,Petrol,Dealer,Manual,First Owner,22.0 kmpl,1197 CC,81.80 bhp,113Nm@ 4200rpm,5,511000
Maruti Baleno Zeta 1.3,Maruti,Maruti Baleno Zeta,2016,80000,Diesel,Dealer,Manual,First Owner,27.39 kmpl,1248 CC,74 bhp,190Nm@ 2000rpm,5,700000
Toyota Innova Crysta 2.8 ZX AT BSIV,Toyota,Toyota Innova Crysta,2016,30000,Diesel,Individual,Automatic,First Owner,11.36 kmpl,2755 CC,171.5 bhp,360Nm@ 1200-3400rpm,7,1800000
Ford Figo Aspire 1.2 Ti-VCT Trend,Ford,Ford Figo Aspire,2018,14200,Petrol,Individual,Manual,First Owner,18.16 kmpl,1196 CC,86.8 bhp,112Nm@ 4000rpm,5,550000
Ford Fiesta 1.4 Duratec EXI Limited Edition,Ford,Ford Fiesta 1.4,2007,97000,Petrol,Individual,Manual,First Owner,16.6 kmpl,1388 CC,68 bhp,"16.3@ 2,000(kgm@ rpm)",5,142000
Tata New Safari DICOR 2.2 VX 4x2,Tata,Tata New Safari,2012,90000,Diesel,Individual,Manual,First Owner,13.93 kmpl,2179 CC,138 bhp,320Nm@ 1700-2700rpm,7,725000
Hyundai i20 1.2 Asta Option,Hyundai,Hyundai i20 1.2,2017,30000,Petrol,Individual,Manual,First Owner,18.6 kmpl,1197 CC,81.83 bhp,114.7Nm@ 4000rpm,5,630000
Hyundai i20 Sportz 1.2,Hyundai,Hyundai i20 Sportz,2015,50000,Petrol,Individual,Manual,First Owner,18.6 kmpl,1197 CC,81.83 bhp,114.7Nm@ 4000rpm,5,480000
Maruti Alto K10 VXI,Maruti,Maruti Alto K10,2016,30000,Petrol,Individual,Manual,First Owner,23.95 kmpl,998 CC,67.05 bhp,90Nm@ 3500rpm,5,330000
Maruti Gypsy King Soft Top MPI BSIV,Maruti,Maruti Gypsy King,2017,20000,Petrol,Individual,Manual,First Owner,11.96 kmpl,1298 CC,80 bhp,103Nm@ 4500rpm,8,500000
Volkswagen Polo Diesel Highline 1.2L,Volkswagen,Volkswagen Polo Diesel,2012,60300,Diesel,Individual,Manual,First Owner,22.07 kmpl,1199 CC,73.9 bhp,180Nm@ 2000rpm,5,300000
Tata Zest Quadrajet 1.3 XM,Tata,Tata Zest Quadrajet,2015,35000,Diesel,Individual,Manual,First Owner,23.0 kmpl,1248 CC,88.7 bhp,200Nm@ 1750-3000rpm,5,400000
Tata Safari DICOR 2.2 EX 4x2,Tata,Tata Safari DICOR,2011,80000,Diesel,Individual,Manual,First Owner,13.93 kmpl,2179 CC,138.03 bhp,320Nm@ 1700-2700rpm,7,320000
Hyundai i10 Magna 1.1L,Hyundai,Hyundai i10 Magna,2008,44391,Petrol,Individual,Manual,Second Owner,19.81 kmpl,1086 CC,68.05 bhp,99.04Nm@ 4500rpm,5,180000
Maruti Baleno Sigma 1.3,Maruti,Maruti Baleno Sigma,2016,58000,Diesel,Individual,Manual,First Owner,27.39 kmpl,1248 CC,74 bhp,190Nm@ 2000rpm,5,530000
Mahindra Bolero 2011-2019 Special Edition,Mahindra,Mahindra Bolero 2011-2019,2015,40000,Diesel,Individual,Manual,First Owner,15.96 kmpl,2523 CC,62.1 bhp,195Nm@ 1400-2200rpm,7,600000
Maruti Ertiga SHVS ZDI,Maruti,Maruti Ertiga SHVS,2017,66000,Diesel,Individual,Manual,Second Owner,24.52 kmpl,1248 CC,88.5 bhp,200Nm@ 1750rpm,7,780000
Honda City i DTec SV,Honda,Honda City i,2016,110000,Diesel,Individual,Manual,First Owner,26.0 kmpl,1498 CC,98.6 bhp,200Nm@ 1750rpm,5,700000
Chevrolet Beat Diesel,Chevrolet,Chevrolet Beat Diesel,2013,56315,Diesel,Individual,Manual,First Owner,25.44 kmpl,936 CC,57.6 bhp,150Nm@ 1750rpm,5,175000
Mahindra Bolero Power Plus SLE,Mahindra,Mahindra Bolero Power,2017,70000,Diesel,Individual,Manual,First Owner,16.5 kmpl,1493 CC,70 bhp,195Nm@ 1400-2200rpm,7,735000
Toyota Etios Liva GD,Toyota,Toyota Etios Liva,2013,120000,Diesel,Individual,Manual,First Owner,23.59 kmpl,1364 CC,67.06 bhp,170Nm@ 1800-2400rpm,5,325000
Chevrolet Tavera LS B3 10 Seats BSII,Chevrolet,Chevrolet Tavera LS,2006,100000,Diesel,Individual,Manual,First Owner,14.8 kmpl,2499 CC,80 bhp,"19@ 1,800(kgm@ rpm)",10,225000
Tata Zest Quadrajet 1.3 XM,Tata,Tata Zest Quadrajet,2015,90000,Diesel,Individual,Manual,Second Owner,23.0 kmpl,1248 CC,88.7 bhp,200Nm@ 1750-3000rpm,5,350000
Maruti Wagon R LXI DUO BSIII,Maruti,Maruti Wagon R,2006,120000,LPG,Individual,Manual,Third Owner,17.3 km/kg,1061 CC,57.5 bhp,"7.8@ 4,500(kgm@ rpm)",5,110000
Maruti Zen Estilo LXI BSIII,Maruti,Maruti Zen Estilo,2007,160000,Petrol,Individual,Manual,Fourth & Above Owner,18.2 kmpl,998 CC,67.1 bhp,90Nm@ 3500rpm,5,85000
Toyota Corolla AE,Toyota,Toyota Corolla AE,2006,100000,Petrol,Individual,Manual,Fourth & Above Owner,13.4 kmpl,1794 CC,125 bhp,"16.1@ 4,200(kgm@ rpm)",5,150000
Maruti Swift Dzire VDi,Maruti,Maruti Swift Dzire,2009,120000,Diesel,Individual,Manual,Third Owner,19.3 kmpl,1248 CC,73.9 bhp,190Nm@ 2000rpm,5,225000
Tata Indica Vista Terra Quadrajet 1.3L,Tata,Tata Indica Vista,2010,100000,Diesel,Individual,Manual,Second Owner,18.0 kmpl,1248 CC,75 bhp,190Nm@ 1750rpm,5,111000
Maruti Wagon R VXI Minor,Maruti,Maruti Wagon R,2007,70000,Petrol,Individual,Manual,Third Owner,18.9 kmpl,1061 CC,67 bhp,84Nm@ 3500rpm,5,150000
Hyundai EON Era Plus,Hyundai,Hyundai EON Era,2017,15151,Petrol,Individual,Manual,Second Owner,21.1 kmpl,814 CC,55.2 bhp,74.5Nm@ 4000rpm,5,300000
Mahindra Scorpio 1.99 S6 Plus,Mahindra,Mahindra Scorpio 1.99,2015,60000,Diesel,Individual,Manual,First Owner,15.4 kmpl,1997 CC,120 bhp,280Nm@ 1800-2800rpm,7,630000
Hyundai i10 Era,Hyundai,Hyundai i10 Era,2011,100000,Petrol,Individual,Manual,First Owner,19.81 kmpl,1086 CC,68.05 bhp,99.04Nm@ 4500rpm,5,206000
Maruti Wagon R LXI,Maruti,Maruti Wagon R,2006,110000,Petrol,Individual,Manual,Fourth & Above Owner,18.9 kmpl,998 CC,67.1 bhp,90Nm@ 3500rpm,5,70000
Hyundai Grand i10 1.2 Kappa Magna AT,Hyundai,Hyundai Grand i10,2019,7000,Petrol,Individual,Automatic,First Owner,18.9 kmpl,1197 CC,81.86 bhp,113.75nm@ 4000rpm,5,567000
Maruti Wagon R LXI,Maruti,Maruti Wagon R,2005,35000,Petrol,Individual,Manual,First Owner,18.9 kmpl,998 CC,67.1 bhp,90Nm@ 3500rpm,5,65000
Maruti Swift Dzire VDI,Maruti,Maruti Swift Dzire,2016,60000,Diesel,Individual,Manual,Second Owner,26.59 kmpl,1248 CC,74 bhp,190Nm@ 2000rpm,5,550000
Hyundai i10 Magna,Hyundai,Hyundai i10 Magna,2010,70000,Petrol,Individual,Manual,Fourth & Above Owner,20.36 kmpl,1197 CC,78.9 bhp,111.7Nm@ 4000rpm,5,140000
Renault KWID RXT,Renault,Renault KWID RXT,2016,30000,Petrol,Individual,Manual,First Owner,25.17 kmpl,799 CC,53.3 bhp,72Nm@ 4386rpm,5,300000
Ford EcoSport 1.5 Ti VCT MT Titanium BSIV,Ford,Ford EcoSport 1.5,2013,70000,Petrol,Individual,Manual,Second Owner,15.85 kmpl,1499 CC,110.4 bhp,140Nm@ 4400rpm,5,500000
Hyundai Grand i10 Sportz,Hyundai,Hyundai Grand i10,2015,128000,Petrol,Individual,Manual,First Owner,18.9 kmpl,1197 CC,82 bhp,114Nm@ 4000rpm,5,400000
Maruti Swift VDI BSIV,Maruti,Maruti Swift VDI,2011,160000,Diesel,Individual,Manual,Second Owner,,,,,,340000
Toyota Innova 2.5 GX 8 STR,Toyota,Toyota Innova 2.5,2012,120000,Diesel,Individual,Manual,Second Owner,12.8 kmpl,2494 CC,102 bhp,20.4@ 1400-3400(kgm@ rpm),8,850000
Maruti Swift VDI BSIV,Maruti,Maruti Swift VDI,2014,15000,Diesel,Individual,Manual,First Owner,25.2 kmpl,1248 CC,74 bhp,190Nm@ 2000rpm,5,570000
Maruti Swift Dzire VDI,Maruti,Maruti Swift Dzire,2017,60000,Diesel,Individual,Manual,First Owner,28.4 kmpl,1248 CC,74.02 bhp,190Nm@ 2000rpm,5,699000
Honda Brio Exclusive Edition,Honda,Honda Brio Exclusive,2013,80000,Petrol,Individual,Manual,First Owner,19.4 kmpl,1198 CC,86.8 bhp,109Nm@ 4500rpm,5,355000
Maruti Swift Dzire VDI Optional,Maruti,Maruti Swift Dzire,2016,80000,Diesel,Individual,Manual,First Owner,26.59 kmpl,1248 CC,74 bhp,190Nm@ 2000rpm,5,690000
Ford Fiesta 1.4 Duratorq ZXI,Ford,Ford Fiesta 1.4,2006,114321,Diesel,Individual,Manual,Second Owner,17.8 kmpl,1399 CC,68 bhp,"16.3@ 2,000(kgm@ rpm)",5,180000
Tata Indica Vista TDI LX,Tata,Tata Indica Vista,2013,120000,Diesel,Individual,Manual,First Owner,19.4 kmpl,1405 CC,70 bhp,135.4Nm@ 2500rpm,5,200000
Mahindra Scorpio VLX 2WD AIRBAG AT BSIV,Mahindra,Mahindra Scorpio VLX,2012,120000,Diesel,Individual,Manual,Second Owner,12.05 kmpl,2179 CC,120 bhp,290Nm@ 1800-2800rpm,8,575000
Toyota Etios Liva GD,Toyota,Toyota Etios Liva,2014,146000,Diesel,Individual,Manual,First Owner,23.59 kmpl,1364 CC,67.06 bhp,170Nm@ 1800-2400rpm,5,415000
Hyundai i10 Magna LPG,Hyundai,Hyundai i10 Magna,2012,30000,LPG,Individual,Manual,First Owner,19.2 km/kg,1086 CC,68.05 bhp,99.04Nm@ 4500rpm,5,350000
Hyundai EON D Lite Plus,Hyundai,Hyundai EON D,2017,20000,Petrol,Individual,Manual,First Owner,21.1 kmpl,814 CC,55.2 bhp,74.5Nm@ 4000rpm,5,350000
Toyota Platinum Etios 1.4 GD,Toyota,Toyota Platinum Etios,2017,150000,Diesel,Individual,Manual,First Owner,23.59 kmpl,1364 CC,67.05 bhp,170Nm@ 1800-2400rpm,5,632000
Maruti Eeco CNG 5 Seater AC BSIV,Maruti,Maruti Eeco CNG,2014,70000,CNG,Individual,Manual,Second Owner,21.94 km/kg,1196 CC,61.7 bhp,85Nm@ 3000rpm,5,325000
Hyundai Elantra SX,Hyundai,Hyundai Elantra SX,2013,90000,Petrol,Individual,Manual,Second Owner,16.3 kmpl,1797 CC,147.5 bhp,177.5Nm@ 4700rpm,5,511000
Honda City 1.5 V MT,Honda,Honda City 1.5,2010,100000,Petrol,Individual,Manual,Third Owner,17.0 kmpl,1497 CC,118 bhp,146Nm at 4800 rpm,5,300000
Maruti Wagon R LXI,Maruti,Maruti Wagon R,2005,188000,Petrol,Individual,Manual,Fourth & Above Owner,18.9 kmpl,998 CC,67.1 bhp,90Nm@ 3500rpm,5,70000
Hyundai i10 Sportz 1.1L,Hyundai,Hyundai i10 Sportz,2008,100000,Petrol,Individual,Manual,Third Owner,19.81 kmpl,1086 CC,68.05 bhp,99.04Nm@ 4500rpm,5,180000
Jaguar XE 2016-2019 2.0L Diesel Prestige,Jaguar,Jaguar XE 2016-2019,2017,9000,Diesel,Dealer,Automatic,First Owner,13.6 kmpl,1999 CC,177 bhp,430Nm@ 1750-2500rpm,5,2711000
Lexus ES 300h,Lexus,Lexus ES 300h,2019,20000,Petrol,Dealer,Automatic,First Owner,22.37 kmpl,2487 CC,214.56 bhp,202Nm@ 3600-5200rpm,5,5150000
Jaguar XF 2.0 Diesel Portfolio,Jaguar,Jaguar XF 2,2017,45000,Diesel,Dealer,Automatic,First Owner,19.33 kmpl,1999 CC,177 bhp,430Nm@ 1750-2500rpm,5,3200000
Tata Safari Storme EX,Tata,Tata Safari Storme,2015,110000,Diesel,Individual,Manual,First Owner,14.1 kmpl,2179 CC,147.94 bhp,320Nm@ 1500-3000rpm,7,503000
Volvo XC40 D4 Inscription BSIV,Volvo,Volvo XC40 D4,2019,20000,Diesel,Individual,Automatic,First Owner,18.0 kmpl,1969 CC,190 bhp,400Nm,5,3800000
Toyota Camry 2.5 Hybrid,Toyota,Toyota Camry 2.5,2016,68089,Petrol,Trustmark Dealer,Automatic,First Owner,19.16 kmpl,2494 CC,157.7 bhp,213Nm@ 4500rpm,5,2000000
Maruti Wagon R LXI,Maruti,Maruti Wagon R,2013,58343,Petrol,Trustmark Dealer,Manual,First Owner,21.79 kmpl,998 CC,67.05 bhp,90Nm@ 3500rpm,5,225000
Maruti Baleno Alpha 1.3,Maruti,Maruti Baleno Alpha,2018,38817,Diesel,Dealer,Manual,First Owner,27.39 kmpl,1248 CC,74 bhp,190Nm@ 2000rpm,5,740000
Honda Jazz VX,Honda,Honda Jazz VX,2016,56494,Petrol,Trustmark Dealer,Manual,First Owner,18.2 kmpl,1199 CC,88.7 bhp,110Nm@ 4800rpm,5,550000
Toyota Innova 2.5 VX (Diesel) 7 Seater,Toyota,Toyota Innova 2.5,2013,79328,Diesel,Trustmark Dealer,Manual,Second Owner,12.99 kmpl,2494 CC,100.6 bhp,200Nm@ 1200-3600rpm,7,750000
Maruti Swift AMT VVT VXI,Maruti,Maruti Swift AMT,2019,5621,Petrol,Trustmark Dealer,Automatic,First Owner,22.0 kmpl,1197 CC,81.80 bhp,113Nm@ 4200rpm,5,650000
Toyota Etios VX,Toyota,Toyota Etios VX,2017,25538,Petrol,Trustmark Dealer,Manual,First Owner,16.78 kmpl,1496 CC,88.73 bhp,132Nm@ 3000rpm,5,625000
Maruti Swift AMT ZXI,Maruti,Maruti Swift AMT,2018,69779,Petrol,Dealer,Automatic,First Owner,22.0 kmpl,1197 CC,81.80 bhp,113Nm@ 4200rpm,5,600000
Hyundai Grand i10 1.2 CRDi Sportz,Hyundai,Hyundai Grand i10,2017,56290,Diesel,Dealer,Manual,First Owner,24.0 kmpl,1186 CC,73.97 bhp,190.24nm@ 1750-2250rpm,5,450000
BMW X4 M Sport X xDrive20d,BMW,BMW X4 M,2019,7500,Diesel,Dealer,Automatic,First Owner,16.78 kmpl,1995 CC,190 bhp,400Nm@ 1750-2500rpm,5,5400000
BMW X4 M Sport X xDrive20d,BMW,BMW X4 M,2019,8500,Diesel,Dealer,Automatic,First Owner,16.78 kmpl,1995 CC,190 bhp,400Nm@ 1750-2500rpm,5,5500000
Honda Amaze V CVT Petrol BSIV,Honda,Honda Amaze V,2019,7032,Petrol,Trustmark Dealer,Automatic,First Owner,19.0 kmpl,1199 CC,88.76 bhp,110Nm@ 4800rpm,5,779000
Skoda Rapid 1.6 MPI AT Elegance,Skoda,Skoda Rapid 1.6,2016,11000,Petrol,Dealer,Automatic,First Owner,14.3 kmpl,1598 CC,103.5 bhp,153Nm@ 3800rpm,5,645000
Volvo V40 D3 R-Design,Volvo,Volvo V40 D3,2018,2000,Diesel,Dealer,Automatic,First Owner,16.8 kmpl,1984 CC,150 bhp,350Nm@ 1500-2750rpm,5,2475000
Hyundai i20 1.2 Asta,Hyundai,Hyundai i20 1.2,2017,37333,Petrol,Individual,Manual,First Owner,18.6 kmpl,1197 CC,81.83 bhp,114.7Nm@ 4000rpm,5,730000
Maruti Ertiga VDI,Maruti,Maruti Ertiga VDI,2014,15000,Diesel,Individual,Manual,Second Owner,20.77 kmpl,1248 CC,88.76 bhp,200Nm@ 1750rpm,7,450000
Hyundai Sonata 2.4 GDi MT,Hyundai,Hyundai Sonata 2.4,2012,330000,Petrol,Individual,Manual,Second Owner,13.44 kmpl,2359 CC,198.25 bhp,250Nm@ 4250rpm,5,550000
